store_title,latitude,longitude,meta_description,meta_keyword,meta_title,store_address,store_city,store_state,country,store_description,store_hours_friday,store_hours_monday,store_hours_saturday,store_hours_sunday,store_hours_thursday,store_hours_tuesday,store_hours_wednesday,store_news,store_phone,store_postcode,store_serviced_suburbs,store_url
Godfreys Airport West,-37.713482,144.886874,,,,"Shop 71  Westfield Shoppingtown, 29-35 Louis St, Airport West VIC 3043, Australia",Airport West,Victoria,Australia,"<p>Godfreys Airport West have a great range of everyday <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, steam mops and carpet shampooers for you to browse. We have a range of services to help you out, including a repairs service, and we stock a great selection of <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/vacuum-cleaner-bags"" target=""_blank"">vacuum bags</a>, filters and other accessories for your convenience.&nbsp;</p>
<p>&nbsp;</p>
<p>The friendly team at Godfreys Airport West will go out of their way to help you out, and we provide free product demonstrations on all machines so that you can feel comfortable using your new machine once you get it home. We look forward to seeing you in our store!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9338 0077,3043,"<p>Broadmeadows, Keilor Park, St Albans, Sunshine, Taylors Lakes, Tullamarine</p>",
Godfreys Albany,-35.020165,117.884277,,,,"Unit 2, 83-87 Lockyer Avenue, Albany WA 6330, Australia",Albany,Western Australia,Australia,,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 5:00pm,Closed,9:00am - 6:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,08  9841 5858,6330,,
Godfreys Albany,-36.728067,174.706414,,,,"Shop 9, Northridge Plaza, Don McKinnon Drive, Albany  632, New Zealand",Albany,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,10am - 5pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,09 448 2400,632,,
Godfreys Albury,-36.075468,146.94501,,,,"Shop 10, Harvey Norman Centre, 94 Borella Road, Albury NSW 2640, Australia",Albury,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 6041 3409,2640,,
Godfreys Ascot Vale,-37.772774,144.926946,,,,"Cnr Mount Alexander & Ormond Road, Ascot Vale VIC 3032, Australia",Ascot Vale,Victoria,Australia,,8:00am - 6:00pm,8:00am - 6:00pm,9:00am - 5:00pm,10:00am - 5:00pm,8:00am - 6:00pm,8:00am - 6:00pm,8:00am - 6:00pm,,03 9370 8211,3032,,
Godfreys Auburn Superstore,-33.841533,151.036777,,,,"169-175 Parramatta Road , Auburn NSW 2144, Australia",Auburn,New South Wales,Australia,,8:30am - 5:30pm,8:30am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,8:30am - 7:30pm,8:30am - 5:30pm,8:30am - 5:30pm,,02 9714 4450,2144,,
Godfreys Balcatta,-31.872231,115.832454,,,,"386 Wanneroo Road, Balcatta WA 6061, Australia",Balcatta,Western Australia,Australia,,8:30am - 5:00pm,8:30am - 5:00pm,9:00am - 4:00pm,11:00am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,8:30am - 5:00pm,,08  9344 7455,6061,,
Godfreys Ballarat,-37.560164,143.862982,,,,"29 Mair St East, Ballarat Central, Ballarat VIC 3350, Australia",Ballarat,Victoria,Australia,"<p>Godfreys Ballarat offer exceptional customer service, and can help you solve any cleaning dilemma that you may have. They guarantee best prices on <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, and they also have a huge range of accessories like vacuum bags and filters for customers that are looking for these.</p>
<p>&nbsp;</p>
<p>Godfreys Ballarat can also offer in-home demonstrations for those customers that would prefer this - simply give us a call and we can arrange this for you. If you would like to visit the store, you will find plenty of free parking out in front of the store. We can't wait to see you!</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 5331 2325,3350,"Ararat, Ballarat, Ballan, Beaufort, Clunes, Daylesford",
Godfreys Bankstown,-33.915816,151.041353,,,,"Shop ML.334, Centro Shopping Centre, Stacey Street, Bankstown NSW 2200, Australia",Bankstown,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9709 5405,2200,,
Godfreys Bateau Bay,-33.384976,151.472572,,,,"Shop 18, Stockland Bay Village, The Entrance Road, Bateau Bay NSW 2261, Australia",Bateau Bay,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4333 7844,2261,,
