"PageCache powered by Varnish Enterprise version: %s","PageCache powered by Varnish Enterprise Version: %s"
"PageCache powered by Varnish Crawler","PageCache powered by Varnish Crawler"
"Secret for Varnish admin.","Secret für Varnish Admin."
"Admin port of the Varnish server (e.g. 6082)","Admin-Port des Varnish Servers (e.g. 6082)"
"Admin server port","Admin Server Port"
"Admin server secret","Admin Server Secret"
"Crawler thread number","Anzahl der Crawler-Threads"
"Download VCL file reflecting current config settings.","Download des VCL-Datei mit den letzten Konfigurationsänderungen."
"Enable PageCache Crawler","PageCache Crawler aktivieren"
"Export VCL File","VCL-Datei exportieren"
"Generate cache for design exceptions","Cache für Design Exceptions generieren"
"Generate cache for all currencies","Cache für alle Währungen generieren"
"Cron expression for Crawler","Cron-Ausdruck für Crawler"
"*unix like cronjob expression","*unix üblicher Cronjob-Ausdruck"
"Varnish version","Varnish Version"
"New VCL file can be exported from Varnish system configuration section.","Die neue VCL-Datei kann in der Varnish Systemkonfiguration heruntergeladen werden."
