"PageCache powered by Varnish Enterprise version: %s","PageCache powered by Varnish Enterprise versión: %s"
"PageCache powered by Varnish Crawler","PageCache powered by Varnish Crawler"
"Secret for Varnish admin.","Secret for Varnish admin."
"Admin port of the Varnish server (e.g. 6082)","Admin port of the Varnish server (e.g. 6082)"
"Admin server port","Admin server port"
"Admin server secret","Admin server secret"
"Crawler thread number","Crawler thread number"
"Download VCL file reflecting current config settings.","Download VCL file reflecting current config settings."
"Enable PageCache Crawler","Enable PageCache Crawler"
"Export VCL File","Export VCL File"
"Generate cache for design exceptions","Generate cache for design exceptions"
"Generate cache for all currencies","Generate cache for all currencies"
"Cron expression for Crawler","Cron expression for Crawler"
"*unix like cronjob expression","*unix like cronjob expression"
"Varnish version","Varnish versión"
"New VCL file can be exported from Varnish system configuration section.","New VCL file can be exported from Varnish system configuration section."
